
A-159	meat	meat	dairy	dairy	and	
A-159	walnuts	walnuts	meat	meat	replaced	
A-159	diet	diet	endothelial	endothelial	known to have a negative effect on	
A-159	walnuts	walnuts	dairy	dairy	replaced meat and	
A-159	nuts	nuts	lead	lead	replaced olive oil, which tends to	
A-159	nuts	nuts	diet	diet	to replace foods in the	
A-159	lead	lead	endothelial	endothelial	to a worsening of	
A-159	nuts	nuts	obesity	obesity	and	
A-159	mortality	mortality	cholesterol	cholesterol	from just a 5% drop in	
A-159	nuts	nuts	olive oil	olive oil	replaced	
A-159	nuts	nuts	fat	fat	make us	
A-159	walnut	walnut	walnuts	walnuts	studies (highlighted in my video,	
A-159	longevity	longevity	death	death	(see nuts may help prevent	
A-159	nuts	nuts	death	death	may help prevent	
A-159	walnut	walnut	cholesterol	cholesterol	consumption may only drop our	
A-159	longevity	longevity	nuts	nuts	(see	
A-159	walnuts	walnuts	cholesterol	cholesterol	must have some other heart-protecting benefits besides lowering	
A-159	walnuts	walnuts	endothelial	endothelial	showed an improvement in	
