
T-1079	blood	blood	cholesterol	cholesterol		
T-1079	beans	beans	amla	amla	(see also here) and soy;	
T-1079	plant-based	plant-based	cholesterol	cholesterol	diet high in fiber appears to lower total	
T-1079	diet	diet	cholesterol	cholesterol	high in fiber appears to lower total	
T-1079	fat	fat	cholesterol	cholesterol	and dietary	
T-1079	fat	fat	dietary cholesterol	dietary cholesterol	and	
T-1079	cholesterol	cholesterol	risk	risk	levels can raise heart disease	
T-1079	cholesterol	cholesterol	heme iron	heme iron	in our arteries, and	
T-1079	side effects	side effects	breast cancer	breast cancer	such as increased	
T-1079	back pain	back pain	sexual dysfunction	sexual dysfunction	(see also here),	
T-1079	bad cholesterol	bad cholesterol	ldl	ldl	”	
T-1079	inflammation	inflammation	aorta	aorta	of the	
T-1079	nutrition	nutrition	kaiser permanente	kaiser permanente	update for physicians published by	
T-1079	disease	disease	risk	risk		
T-1079	atherosclerosis	atherosclerosis	arteries	arteries	in our coronary	
T-1079	doctors	doctors	plant-based diet	plant-based diet	to recommend a	
T-1079	ldl	ldl	heart attacks	heart attacks	level to achieve to avoid	
T-1079	seeds	seeds	nuts	nuts	including sesame seeds, pistachio	
T-1079	dried apples	dried apples	nuts	nuts	(see also here);	
T-1079	cholesterol	cholesterol	red yeast rice	red yeast rice	reducer,	
T-1079	amla	amla	apples	apples	or indian gooseberries (see also here);	
T-1079	breast cancer	breast cancer	risk	risk		
T-1079	meat	meat	risk	risk	can contribute to atherosclerosis	
T-1079	meat	meat	atherosclerosis	atherosclerosis	can contribute to	
T-1079	baking	baking	hibiscus	hibiscus	soda; and	
T-1079	ornish	ornish	dr. walter kempner	dr. walter kempner	and the late	
T-1079	doctors	doctors	plant-based	plant-based	to recommend a	
T-1079	oxidation	oxidation	cholesterol	cholesterol	of high-fat,	
T-1079	cholesterol	cholesterol	beans	beans	include ceylon cinnamon; kale; legumes, including	
T-1079	diet	diet	cholesterol	cholesterol	to lower	
T-1079	iron	iron	risk	risk	found in meat can contribute to atherosclerosis	
T-1079	diabetes	diabetes	risk	risk		
T-1079	yeast	yeast	rice	rice		
T-1079	dairy	dairy	eggs	eggs	products, chicken, and	
T-1079	risk	risk	disease	disease	of coronary heart	
T-1079	cholesterol	cholesterol	heart disease	heart disease	levels can raise	
T-1079	water	water	baking soda	baking soda	with	
T-1079	fiber	fiber	ldl	ldl	appears to lower total cholesterol and specifically	
T-1079	risk	risk	heart disease	heart disease	factor for heart attacks.in addition to	
T-1079	cholesterol	cholesterol	yeast	yeast	reducer, red	
T-1079	heme iron	heme iron	atherosclerosis	atherosclerosis	found in meat can contribute to	
T-1079	fruits	fruits	vegetables	vegetables	and	
T-1079	phytonutrients	phytonutrients	plant foods	plant foods	and antioxidants found in abundance in	
T-1079	eggs	eggs	cholesterol	cholesterol	are the top source of	
T-1079	cholesterol	cholesterol	american heart association	american heart association	is one of seven goals set by the	
T-1079	cholesterol	cholesterol	ldl	ldl	size,	
T-1079	cholesterol	cholesterol	risk	risk	has been linked to	
T-1079	sexual dysfunction	sexual dysfunction	gallstones	gallstones	(see also here, here, here and here), periodontitis,	
T-1079	american heart association	american heart association	heart disease	heart disease	to reduce u.s.	
T-1079	amla	amla	dried apples	dried apples	or indian gooseberries (see also here); apples and	
T-1079	walnuts	walnuts	kiwis	kiwis	(see also here), and almonds;	
T-1079	walnuts	walnuts	almonds	almonds	(see also here), and	
T-1079	rice	rice	lovastatin	lovastatin	is not recommended as the	
T-1079	cholesterol	cholesterol	ceylon cinnamon	ceylon cinnamon	include	
T-1079	health	health	doctors	doctors	care organization, has encouraged its	
T-1079	plant foods	plant foods	dietary cholesterol	dietary cholesterol	do not contain	
T-1079	plant-based diet	plant-based diet	fiber	fiber	high in	
