
T-1743	fruit	fruit	vegetables	vegetables	and	
T-1743	beer	beer	antioxidants	antioxidants	represents the fifth largest source of	
T-1743	corn	corn	standard american diet	standard american diet	syrup happened especially quickly after world war ii.the	
T-1743	sugar	sugar	corn syrup	corn syrup	and	
T-1743	plant-based	plant-based	diet	diet		
T-1743	disease	disease	risk	risk		
T-1743	standard american diet	standard american diet	fruit	fruit	includes low intake of	
T-1743	chronic disease	chronic disease	risk	risk		
T-1743	standard american diet	standard american diet	diet	diet	—that is, the typical	
T-1743	sugar	sugar	corn	corn	and	
T-1743	calories	calories	diet	diet	from foods rich with phytonutrients, the standard american	
T-1743	americans	americans	fruit	fruit	ate at least one	
T-1743	americans	americans	sugar	sugar	—is high in meat, dairy, fat,	
T-1743	agriculture	agriculture	americans	americans	dietary guidelines showed only ¼ of	
T-1743	americans	americans	fat	fat	—is high in meat, dairy,	
T-1743	americans	americans	meat	meat	—is high in	
T-1743	americans	americans	dairy	dairy	—is high in meat,	
T-1743	dietary guidelines	dietary guidelines	americans	americans	showed only ¼ of	
T-1743	americans	americans	antioxidants	antioxidants	eat so few foods rich in	
T-1743	calories	calories	phytonutrients	phytonutrients	from foods rich with	
T-1743	calories	calories	standard american diet	standard american diet	from foods rich with phytonutrients, the	
T-1743	standard american diet	standard american diet	vegetables	vegetables	includes low intake of fruit and	
T-1743	americans	americans	beer	beer	eat so few foods rich in antioxidants, that	
T-1743	diet	diet	fruit	fruit	includes low intake of	
T-1743	agriculture	agriculture	dietary guidelines	dietary guidelines		
T-1743	diet	diet	vegetables	vegetables	includes low intake of fruit and	
T-1743	corn syrup	corn syrup	standard american diet	standard american diet	happened especially quickly after world war ii.the	
