
V-1050	gut bacteria	gut bacteria	kidneys	kidneys	weigh as much as one of our	
V-1050	gut	gut	bacteria	bacteria	flora?there are some species of	
V-1050	bacteria	bacteria	energy	energy	—suggesting a smaller capacity for	
V-1050	obesity	obesity	gut	gut	linked to our	
V-1050	gut	gut	bacteria	bacteria		
V-1050	gut	gut	kidneys	kidneys	bacteria weigh as much as one of our	
V-1050	bacteria	bacteria	colon	colon	in our	
V-1050	bacteria	bacteria	energy	energy	with an increased capacity for	
V-1050	probiotics	probiotics	kids	kids	to	
V-1050	bacteria	bacteria	kidneys	kidneys	weigh as much as one of our	
V-1050	bacteria	bacteria	calories	calories	better at extracting	
V-1050	energy	energy	vegetarians	vegetarians	gain from food in	
