
V-591	fecal contamination	fecal contamination	chicken	chicken	of	
V-591	chickens	chickens	drugs	drugs	who were given the	
V-591	urine	urine	women	women	specimens obtained from infected	
V-591	bladder infections	bladder infections	infections	infections	—”solid evidence that [urinary tract	
V-591	chicken	chicken	cross-contamination	cross-contamination	to the volunteer.and, they know it was	
V-591	bacteria	bacteria	salmonella	salmonella	from chicken feces—	
V-591	infections	infections	urinary tract infections	urinary tract infections	—”solid evidence that [	
V-591	chicken	chicken	meat	meat	.can’t you just use a	
V-591	flora	flora	infections	infections	[that] serve as a reservoir for urinary tract	
V-591	campylobacter	campylobacter	salmonella	salmonella	and	
V-591	meat	meat	beef	beef	equally;	
V-591	meat	meat	chicken	chicken	thermometer, and cook	
V-591	cooking	cooking	campylobacter	campylobacter	it, there was bacteria from chicken feces—salmonella,	
V-591	bladder infections	bladder infections	urinary tract infections	urinary tract infections	—”solid evidence that [	
V-591	campylobacter	campylobacter	pathogens	pathogens	—both serious human	
V-591	e. coli	e. coli	meat	meat	in chicken	
V-591	bacteria	bacteria	colon	colon	colonizing this person’s	
V-591	meat	meat	pork	pork	equally; beef and	
V-591	women	women	rectal bacteria	rectal bacteria	over time showed that the movement of	
V-591	cooking	cooking	bacteria	bacteria	it, there was	
V-591	antibiotics	antibiotics	chickens	chickens	—it’s the	
V-591	e. coli	e. coli	chicken	chicken	jumped from the	
V-591	bladder	bladder	urinary tract infections	urinary tract infections	infections—”solid evidence that [	
V-591	beef	beef	pork	pork	and	
V-591	e. coli	e. coli	meat	meat	straight from the slaughterhouse, to the	
V-591	e. coli	e. coli	chicken	chicken	in	
V-591	prevention	prevention	cross-contamination	cross-contamination	of	
V-591	urinary tract infections	urinary tract infections	disease	disease	as an animal-to-human	
V-591	fecal flora	fecal flora	gut	gut	in their	
V-591	bacteria	bacteria	chicken	chicken	from	
V-591	pathogens	pathogens	colon	colon	into their	
V-591	antibiotics	antibiotics	drugs	drugs	—it’s the chickens who were given the	
V-591	flora	flora	gut	gut	in their	
V-591	bladder	bladder	infections	infections		
V-591	urethra	urethra	bladder	bladder	before they infected the	
V-591	rectal flora	rectal flora	urinary tract infections	urinary tract infections	[that] serve as a reservoir for	
V-591	cooking	cooking	chicken	chicken	it, there was bacteria from	
V-591	cross-contamination	cross-contamination	chicken	chicken	from	
V-591	chickens	chickens	e. coli	e. coli	naturally contaminated with antibiotic-resistant	
V-591	chicken	chicken	bacteria	bacteria		
V-591	women	women	bacteria	bacteria	over time showed that the movement of rectal	
V-591	contamination	contamination	chicken	chicken	of	
V-591	prevention	prevention	chicken	chicken	of cross-contamination from	
V-591	flora	flora	urinary tract infections	urinary tract infections	[that] serve as a reservoir for	
V-591	cooking	cooking	salmonella	salmonella	it, there was bacteria from chicken feces—	
V-591	rectal flora	rectal flora	infections	infections	[that] serve as a reservoir for urinary tract	
V-591	gut	gut	e. coli	e. coli	), pathogenic, disease-causing	
V-591	chickens	chickens	antibiotics	antibiotics		
V-591	bacteria	bacteria	pathogens	pathogens	from chicken feces—salmonella, campylobacter—both serious human	
V-591	infections	infections	disease	disease	as an animal-to-human	
V-591	bacteria	bacteria	campylobacter	campylobacter	from chicken feces—salmonella,	
V-591	chicken	chicken	meat	meat		
